"Date","NEC","Atira","Aten","Apollo","Amor","PHA-km","PHA","NEA-km","NEA-140m","NEA","NEO"
"2023-02-10","119","28","2447","17615","11181","152","2329","858","10401","31271","31390"
"2023-02-01","119","28","2445","17591","11174","152","2328","858","10398","31238","31357"
"2023-01-01","119","28","2428","17454","11114","152","2323","858","10364","31024","31143"
"2022-12-01","119","28","2408","17303","11068","152","2316","858","10333","30807","30926"
"2022-11-01","119","28","2383","17101","10981","152","2312","858","10298","30493","30612"
"2022-10-01","119","28","2339","16807","10846","152","2298","858","10238","30020","30139"
"2022-09-01","119","28","2317","16589","10675","151","2289","857","10178","29609","29728"
"2022-08-01","119","28","2298","16488","10560","151","2286","856","10135","29374","29493"
"2022-07-01","119","28","2282","16413","10493","151","2279","856","10103","29216","29335"
"2022-06-01","119","28","2268","16352","10432","151","2274","856","10076","29080","29199"
"2022-05-01","119","28","2254","16233","10379","151","2269","855","10049","28894","29013"
"2022-04-01","119","28","2238","16074","10328","151","2262","855","10012","28668","28787"
"2022-03-01","119","28","2214","15904","10260","151","2257","855","9989","28406","28525"
"2022-02-01","119","28","2188","15729","10187","151","2250","855","9959","28132","28251"
"2022-01-01","119","27","2159","15543","10103","150","2236","854","9910","27832","27951"
"2021-12-01","119","27","2143","15437","10073","150","2231","854","9894","27680","27799"
"2021-11-01","119","26","2109","15204","9975","150","2221","854","9842","27314","27433"
"2021-10-01","119","26","2076","14966","9847","150","2209","853","9805","26915","27034"
"2021-09-01","119","26","2052","14766","9713","150","2202","853","9757","26557","26676"
"2021-08-01","117","24","2034","14661","9590","150","2191","852","9696","26309","26426"
"2021-07-01","117","24","2024","14598","9536","150","2184","852","9663","26182","26299"
"2021-06-01","116","23","2006","14517","9464","150","2177","851","9618","26010","26126"
"2021-05-01","116","23","1980","14377","9381","150","2171","851","9585","25761","25877"
"2021-04-01","115","23","1955","14192","9284","149","2162","850","9543","25454","25569"
"2021-03-01","115","23","1932","14066","9235","149","2158","850","9525","25256","25371"
"2021-02-01","115","23","1906","13896","9164","149","2150","850","9491","24989","25104"
"2021-01-01","115","22","1876","13723","9117","149","2143","850","9455","24738","24853"
"2020-12-01","115","22","1846","13567","9036","149","2132","850","9401","24471","24586"
"2020-11-01","115","22","1824","13399","8962","149","2121","850","9353","24207","24322"
"2020-10-01","115","22","1802","13197","8847","149","2112","849","9303","23868","23983"
"2020-09-01","115","22","1782","13022","8710","148","2103","848","9263","23536","23651"
"2020-08-01","115","22","1762","12897","8600","148","2088","848","9198","23281","23396"
"2020-07-01","115","21","1752","12832","8524","148","2081","848","9153","23129","23244"
